Kod;Numer;X;Y;Adres;Strefa;stan;
B090114;11100502;21.00563925;52.24831409;ul. Długa 24;jest na zero;brak;jest na zero
B140103;2140103;21.0000857;52.2261028;ul. Nowogrodzka v-vis 64;jest na zero;brak;jest na zero
B140107;2140107;20.998698085822;52.22573434935;ul. Nowogrodzka v-vis 66;wyrwany do odtworzenia;brak;wyrwany do odtworzenia
B140109;2140109;20.997519784893;52.225476494681;ul. Nowogrodzka v-vis 68;wyrwany do odtworzenia;brak;wyrwany do odtworzenia
B140220;16050305;21.0024284;52.2263847;ul. Chałubińskiego / Nowogrodzka;jest na zero;brak;jest na zero
B160105;2160105;21.0044903;52.2203877;al. Niepodległości 235;wyrwany do odtworzenia;brak;wyrwany do odtworzenia
B160111;2160111;21.008406462985;52.222479981802;ul. Noakowskiego (Skwer);jest na zero;brak;jest na zero
B160125;2160125;21.010469417877;52.219897543612;ul. Nowowiejska 25;jest na zero;brak;jest na zero
B160205;2160205;21.010337513503;52.221359879703;ul. Noakowskiego 12;Wycięte szpilki;brak;Wycięte szpilki
B160213;2160213;21.0122803;52.2211694;ul. Lwowska 9;jest na zero;brak;jest na zero
B160218;2160218;21.0129874263;52.220360632393;ul. Śniadeckich 21;jest na zero;brak;jest na zero
B160226;2160226;21.014839301237;52.220007228598;ul. Nowowiejska 10;stoi na starym adapter;brak;stoi na starym adapter
B160228;2160228;21.013197796448;52.220017895067;ul. Nowowiejska 12-18;jest na zero;brak;jest na zero
B210103;2210103;20.991059108659;52.241387534506;al. Solidarności 84;jest na zero;brak;jest na zero
B210104;17170802;20.98758504;52.23903347;ul. Żelazna 89;jest na zero;brak;jest na zero
B210109;17170701;20.99266567;52.24135239;al. Solidarności 119/125;jest na zero;brak;jest na zero
B210125;2210125;20.9883695;52.240349;al. Solidarności 88;jest na zero;brak;jest na zero
B210201;17170706;20.9949978;52.23978243;al. Jana Pawła II;jest na zero;brak;jest na zero
B210202;2210202;20.994903409275;52.239304141362;ul. Elektoralna 24;jest na zero;brak;jest na zero
B210211;2210211;20.992862074029;52.238027291799;ul. Chłodna (park);wyrwany do odtworzenia;brak;wyrwany do odtworzenia
B210218;17170718;20.98952607;52.23681134;ul. Żelazna 68;jest na zero;brak;jest na zero
B210302;2210302;20.995513881838;52.236737287197;ul. Ciepła;jest na zero;brak;jest na zero
B210304;2210304;20.992139747337;52.235373674471;ul. Waliców 13;jest na zero;brak;jest na zero
B210306;17170724;20.99135406;52.23485805;ul. Grzybowska;jest na zero;brak;jest na zero
B210309;2210309;20.990102749397;52.235578635231;ul. Żelazna 67;jest na zero;brak;jest na zero
B210314;2210314;20.994979945164;52.233923910629;ul. Pereca 4;jest na zero;brak;jest na zero
B210319;2210319;20.995951627372;52.235475763719;ul. Ciepła - Grzybowska;jest na zero;brak;jest na zero
B210324;2210324;20.990578660507;52.234794546841;ul. Żelazna 63;jest na zero;brak;jest na zero
B220101;2220101;20.993473779793;52.231455848736;ul. Pańska 65;jest na zero;brak;jest na zero
B220102;17170903;20.99409052;52.2316202;ul. Pańska 65;jest na zero;brak;jest na zero
